1623085800681 [Opening serial port: /dev/ttyTHS1.] 
1623085801001 [The robot is connected to ] [/dev/ttyTHS1] 
1623085801001 [Initial robot's topic...] 
1623085801008 [Start initializing navigation] 
1623085801008 [Start initializing navigation topic] 
1623085801258 [Initialization navigation topic finished] 
1623085801272 [Initialization navigation finished] 
1623085801343 [vl:0.0 vr:0.0 yaw:0.0] 
1623085801393 [vl:0.0 vr:0.0 yaw:0.0] 
1623085801444 [vl:0.0 vr:0.0 yaw:0.0] 
1623085801490 [vl:0.0 vr:0.0 yaw:0.0] 
1623085801546 [vl:0.0 vr:0.0 yaw:0.0] 
1623085801590 [vl:0.0 vr:0.0 yaw:0.0] 
1623085801642 [vl:0.0 vr:0.0 yaw:0.0] 
1623085801693 [vl:0.0 vr:0.0 yaw:0.0] 
1623085801743 [vl:0.0 vr:0.0 yaw:0.0] 
1623085801790 [vl:0.0 vr:0.0 yaw:0.0] 
1623085801843 [vl:0.0 vr:0.0 yaw:0.0] 
1623085801890 [vl:0.0 vr:0.0 yaw:0.0] 
1623085801949 [vl:0.0 vr:0.0 yaw:0.0] 
1623085801990 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802042 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802090 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802143 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802189 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802242 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802291 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802343 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802390 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802441 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802490 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802543 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802590 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802648 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802690 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802743 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802799 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802844 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802890 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802943 [vl:0.0 vr:0.0 yaw:0.0] 
1623085802998 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803043 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803095 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803146 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803190 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803243 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803292 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803349 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803390 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803443 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803490 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803542 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803594 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803642 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803701 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803746 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803790 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803846 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803890 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803949 [vl:0.0 vr:0.0 yaw:0.0] 
1623085803988 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804043 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804090 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804148 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804198 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804242 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804289 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804342 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804409 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804443 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804490 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804544 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804590 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804642 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804690 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804743 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804791 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804841 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804890 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804942 [vl:0.0 vr:0.0 yaw:0.0] 
1623085804989 [vl:0.0 vr:0.0 yaw:0.0] 
1623085805047 [vl:0.0 vr:0.0 yaw:0.0] 
1623085805096 [vl:0.0 vr:0.0 yaw:0.0] 
1623085805143 [vl:0.0 vr:0.0 yaw:0.0] 
1623085805190 [vl:0.0 vr:0.0 yaw:0.0] 
1623085805242 [vl:0.0 vr:0.0 yaw:0.0] 
1623085805303 [vl:0.0 vr:0.0 yaw:0.0] 
1623085805343 [vl:0.0 vr:0.0 yaw:0.0] 
1623085805393 [vl:0.0 vr:0.0 yaw:0.0] 
1623085805456 [vl:0.0 vr:0.0 yaw:0.0] 
1623085805498 [vl:0.0 vr:0.0 yaw:0.0] 
1623085805550 [vl:0.0 vr:0.0 yaw:0.0] 
1623085805597 [vl:0.0 vr:0.0 yaw:0.0] 
1623085805642 [vl:0.0 vr:0.0 yaw:0.0] 
1623085805690 [vl:0.0 vr:0.0 yaw:0.0] 
1623085805746 [vl:0.0 vr:0.0 yaw:0.0] 
1623085805792 [vl:0.0 vr:0.0 yaw:0.0] 
1623085805842 [vl:0.0 vr:0.0 yaw:0.0] 
1623085805901 [vl:0.0 vr:0.0 yaw:0.0] 
1623085805945 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806002 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806057 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806119 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806145 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806197 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806244 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806294 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806346 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806397 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806449 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806490 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806546 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806590 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806644 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806692 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806751 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806790 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806842 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806893 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806949 [vl:0.0 vr:0.0 yaw:0.0] 
1623085806994 [vl:0.0 vr:0.0 yaw:0.0] 
1623085807048 [vl:0.0 vr:0.0 yaw:0.0] 
1623085807090 [vl:0.0 vr:0.0 yaw:0.0] 
1623085807144 [vl:0.0 vr:0.0 yaw:0.0] 
1623085807194 [vl:0.0 vr:0.0 yaw:0.0] 
1623085807243 [vl:0.0 vr:0.0 yaw:0.0] 
1623085807291 [vl:0.0 vr:0.0 yaw:0.0] 
1623085807362 [vl:0.0 vr:0.0 yaw:0.0] 
1623085807391 [vl:0.0 vr:0.0 yaw:0.0] 
1623085807447 [vl:0.0 vr:0.0 yaw:0.0] 
1623085807491 [vl:0.0 vr:0.0 yaw:0.0] 
1623085807542 [vl:0.0 vr:0.0 yaw:0.0] 
1623085807592 [vl:0.0 vr:0.0 yaw:0.0] 
1623085807642 [vl:0.0 vr:0.0 yaw:0.0] 
1623085807694 [vl:0.0 vr:0.0 yaw:0.0] 
