Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
dummy,-0.0161724432800226,0.0217804505088511,0.0592872133620699,0,0,0,7.42810985257358,0.0412126799508562,-1.97206842220301E-16,0.00448700377395568,0.0871716826470399,6.08989636016671E-18,0.114687543846534,0,0,0,0,0,0,package://robot_description/meshes/dummy.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/dummy.STL,,chasis-1,dummy,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_link,0.0948021290706012,0.0234757398418536,0.0896127727195233,0,0,0,0.0416209175694483,2.12093641680679E-05,-1.32055645274349E-10,2.57637177798231E-10,2.30010960432078E-05,8.8145229345773E-09,4.36954561485564E-05,0,0,0,0,0,0,package://robot_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/base_link.STL,,BASE^robotarm1-2/Part2-1,dummy,,dummy,fixed,0,0,0,0,0,0,dummy,0,0,0,,,,,,,,,,,,
link_1,-0.00645497107140738,-0.00264861323003552,0.0161014181387927,0,0,0,0.0798083268201474,2.42445315370079E-05,-3.96462164806578E-08,1.70039963642024E-09,2.91087388653842E-05,4.43791388925447E-07,4.93317893505072E-05,0,0,0,0,0,0,package://robot_description/meshes/link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_description/meshes/link_1.STL,,Link1^robotarm1-1,Origin_joint_0,Axis_joint_0,joint_0,revolute,0.094802,0.02178,0.094485,0,0,0,base_link,0,0,1,0,0,-4.1888,0.69813,,,,,,,,
link_2,-0.0441672955930066,-0.0254999999999995,0.00196123940117489,0,0,0,0.0475993853789399,3.33319565488529E-05,-6.9117387543481E-06,-6.66210899742253E-21,4.13129450096359E-05,3.66785772509503E-20,2.0881605962112E-05,0,0,0,0,0,0,package://robot_description/meshes/link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_description/meshes/link_2.STL,,Link2^robotarm1-1,Origin_joint_1,Axis_joint_1,joint_1,revolute,-0.0017545,0,0.0249,-1.5708,0,0,link_1,0,0,1,0,0,-0.17453,1.7453,,,,,,,,
link_3,0.0554376610188382,0.00312319498710002,-0.00374536272572068,0,0,0,0.111344912824329,1.09688048932566E-05,-1.78460277058227E-09,-9.02393554767957E-08,2.46157246976635E-05,-8.55982045464271E-07,2.27017675785582E-05,0,0,0,0,0,0,package://robot_description/meshes/link_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_description/meshes/link_3.STL,,Link3^robotarm1-1,Origin_joint_2,Axis_joint_2,joint_2,revolute,-0.088335,-0.051,0,0,0,-1.0472,link_2,0,0,1,0,0,-3.14,3.14,,,,,,,,
link_4,-0.0176379181931041,0.0305437155258578,0.0019674141905685,0,0,0,0.0508687988735335,2.36967927432374E-05,2.48979327017977E-06,1.97378839246483E-08,2.08307203920655E-05,-3.41889879211039E-08,9.91099465693361E-06,0,0,0,0,0,0,package://robot_description/meshes/link_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_description/meshes/link_4.STL,,Link4^robotarm1-1,Origin_joint_3,Axis_joint_3,joint_3,revolute,0.130508913511003,0,0,0.0330134851352869,0,0,link_3,0,0,1,0,0,-3.14,3.14,,,,,,,,
link_5,0.000145826433482849,0.00572759346298263,0.0249754325019966,0,0,0,0.0397478662209852,4.82308554751759E-06,-5.4107694599129E-08,-2.14243371035978E-06,6.53212892558204E-06,4.85973504387889E-07,4.2080310033455E-06,0,0,0,0,0,0,package://robot_description/meshes/link_5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_description/meshes/link_5.STL,,Link5^robotarm1-1,Origin_joint_43,Axis_joint_4,joint_4,continuous,-0.0438541371732808,0.0759575937060697,0.0112859927951114,-0.116608909241159,-0.712230377732912,-1.84069508617415,link_4,0.530861074931385,0.761296866307477,-0.372308474887572,0,0,-3.14,3.14,,,,,,,,
link_51,0.0274973854492598,0.0066664563518887,-0.00274999999999825,0,0,0,0.00141569349834304,2.12882327783662E-07,-2.23055006855443E-08,-7.49012044666767E-22,4.99683964313318E-08,-4.03664138925878E-22,2.61906928549432E-07,0,0,0,0,0,0,package://robot_description/meshes/link_51.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/link_51.STL,,Link6^robotarm1-2/4. gear link smal hole-1,Origin_joint_5,Axis_joint_5,joint_5,revolute,0.00617286993879481,-0.00952626535605935,0.0109219809266578,0.602136293756852,0.853540316865174,3.01057033246525,link_5,0,0,1,0,0,0.1,0.92,,,,,,,,
link_52,0.0273537886684807,0.0226207279404788,0.00150000000000955,0,0,0,0.00148390327012937,4.30795368940953E-07,8.24295843502233E-08,-5.53383829797976E-22,3.23578805228052E-08,1.9000338670343E-21,4.60927394558564E-07,0,0,0,0,0,0,package://robot_description/meshes/link_52.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/link_52.STL,,Link6^robotarm1-2/5. holder-2,Coordinate System15,Axis12,joint_51,revolute,-0.00360894860261653,0.0308388542215121,-0.00175000000000791,0,0,0,link_51,0,0,-1,0,0,0.1,0.92,,,,,,,,
link_53,-0.0275517174404177,0.00686942071701234,-0.00100000000000933,0,0,0,0.00137328199751957,2.10770882639421E-07,2.30360067045727E-08,-1.5778470184449E-22,5.00701284621878E-08,9.562207881113E-22,2.59925489769929E-07,0,0,0,0,0,0,package://robot_description/meshes/link_53.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/link_53.STL,,Link6^robotarm1-2/3. gear_link-1,Mimic_joint5_!,Axis11,joint_53,revolute,-0.0105213588774653,-0.00832612259373525,-0.0104276575228086,0.602136293756852,0.853540316865174,3.01057033246525,link_5,0,0,-1,0,0,0.1,0.92,,,,,,,,
link_54,-0.0275795682899238,0.0226489633076726,0.00149999999999034,0,0,0,0.00148390327012937,4.32400053087531E-07,-7.84391167968695E-08,-4.3426982159034E-23,3.07531963762263E-08,2.72969602142499E-23,4.60927394558563E-07,0,0,0,0,0,0,package://robot_description/meshes/link_54.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/link_54.STL,,Link6^robotarm1-2/5. holder-1,Coordinate System16,Axis13,joint_54,revolute,0.00344200446641575,0.0308579332581168,0,0,0,0,link_53,0,0,1,0,0,0.1,0.92,,,,,,,,
wh_fl,1.24605039134029E-09,-5.44404268887355E-09,-0.0202134707623034,0,0,0,0.0727548969703373,4.14370643464244E-05,2.24745675814069E-13,-5.45684111227243E-11,4.14370654170998E-05,3.91780344407804E-11,6.08652668919489E-05,0,0,0,0,0,0,package://robot_description/meshes/wh_fl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/wh_fl.STL,,wheel2-1,Origin_joint_fl,Axis_joint_fl,joint_fl,continuous,0.0963024280776692,0.105267807682509,0.0379849148150617,1.5707963267949,1.5707963267949,0,base_link,0,0,1,,,,,,,,,,,,
wh_fr,1.24612446750216E-09,5.44468692353917E-09,0.0202134707623578,0,0,0,0.0727548969707371,4.14370643466436E-05,-2.24304743235177E-13,5.45683705146665E-11,4.1437065416982E-05,3.91778084314971E-11,6.08652668920378E-05,0,0,0,0,0,0,package://robot_description/meshes/wh_fr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/wh_fr.STL,,wheel2-2,Origin_joint_fr,Axis_joint_fr,joint_fr,continuous,0.0963024280776703,-0.0617069066648054,0.0379849148150617,1.57079632679489,1.5707963267949,0,base_link,0,0,1,,,,,,,,,,,,
wh_br,1.24612493934695E-09,5.44468690966138E-09,0.0202134707623579,0,0,0,0.0727548969707371,4.14370643466436E-05,-2.24304763921686E-13,5.4568370578425E-11,4.1437065416982E-05,3.91778084169265E-11,6.0865266892038E-05,0,0,0,0,0,0,package://robot_description/meshes/wh_br.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/wh_br.STL,,wheel2-7,Origin_joint_br,Axis_joint_br,joint_br,continuous,-0.10369757192233,-0.0617069066648075,0.0379849148150618,1.57079632679489,1.5707963267949,0,base_link,0,0,1,,,,,,,,,,,,
wh_bl,1.24651636929096E-09,-5.44738672225709E-09,-0.0202134707646456,0,0,0,0.0727548969777259,4.14370643514692E-05,2.2460426222199E-13,-5.45680689972664E-11,4.14370654188494E-05,3.91752883180353E-11,6.0865266894789E-05,0,0,0,0,0,0,package://robot_description/meshes/wh_bl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/wh_bl.STL,,wheel2-8,Origin_joint_bl,Axis_joint_bl,joint_bl,continuous,-0.103697571922331,0.105267807682509,0.0379849148150615,1.5707963267949,1.5707963267949,0,base_link,0,0,1,,,,,,,,,,,,
camera_link,-0.0130484995590921,0.000246197944511115,-6.05670440416983E-05,0,0,0,0.0447521991262699,2.7277525325308E-05,2.44341503420267E-07,-1.17387243420203E-09,3.94471790856199E-06,-2.8009194188183E-09,2.73620891189281E-05,0,0,0,0,0,0,package://robot_description/meshes/camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/camera_link.STL,,IntelRealsense_D435_Multibody-2,Origin_camera_joint,Axis_camera_joint,camera_joint,fixed,0.209802428077669,0.0217804505088517,0.0713934534411303,0,0,0,base_link,0,0,0,,,,,,,,,,,,
